"SECCIÓN 4
CONTENIDO Esta sección se diligencia los contenidos orientados.
Por favor no eliminar filas ni casillas ";;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
CONTENIDO;;;;;;;;;;
Nombre del Tema 1:;;"objetivo especifico por 
Unidad 1";dia ;mes;año ;"Estrategía Pedagógica (Presencial)
Revisar las del punto 3";"Estrategía Pedagógica (Independiente)
Revisar las del punto 3";Hr trabajo Presencial;Hr Trabajo Independiente;
Historia corta del control e instrumentación industrial;Historia corta del control e instrumentación industrial;Identificar  los elementos de automatización e instrumentación involucrados en los procesos de producción.;;;;1.1;1.3;3;6;
Conceptos básicos;Conceptos básicos;;;;;;;;;
Características de los sistemas de control de lazo abierto y cerrado;Características de los sistemas de control de lazo abierto y cerrado;;;;;;;;;
Esquemas de control;Esquemas de control;;;;;;;;;
Sistema de lazo cerrado generalizado;Sistema de lazo cerrado generalizado;;;;;;;;;
Instrumentos típicos en un lazo de control ;Instrumentos típicos en un lazo de control ;;;;;;;;;
Definiciones básicas en instrumentación y control;Definiciones básicas en instrumentación y control;;;;;;;;;
Sistemas de transmisión de señal;Sistemas de transmisión de señal;;;;;;;;;5,2
Transmisores de señal;Transmisores de señal;;;;;;;;;
Redes de comunicación industrial;Redes de comunicación industrial;;;;;;;;;
Controladores lógicos programables y sistemas de control distribuidos;Controladores lógicos programables y sistemas de control distribuidos;;;;;;;;;
Descripción conceptual en el diseño de automatización de un proceso industrial;Descripción conceptual en el diseño de automatización de un proceso industrial;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Nombre del Tema 2:;;"objetivo especifico por 
Unidad 2";dia ;mes;año ;"Estrategía Pedagógica (Presencial)
Revisar las del punto 3";"Estrategía Pedagógica (Independiente)
Revisar las del punto 3";Hr trabajo Presencial;Hr Trabajo Independiente;
Campos electricos;;Comprender los fenomenos fisicos electromagneticos relacionados con los instrumentos de medición, control y actuación de procesos productivos;;;;1.1 - 1.2 - 3.1 - 5.4;1.2 - 3.1 - 5.4;3;6;
Potencial electrico;;;;;;;;;;
Corriente y Resistencia;;;;;;;;;;
